Ulasan,Term,TF,IDF,TF-IDF
 ulasan1,bisa,1,1.336472236621213,0.19094445642378605
 ulasan1,bukti,1,2.252762968495368,0.3218567424628798
 ulasan1,cair,1,1.8472978603872037,0.26392713304408866
 ulasan1,data,1,2.252762968495368,0.3218567424628798
 ulasan1,isi,1,2.252762968495368,0.3218567424628798
 ulasan1,kendala,1,2.252762968495368,0.3218567424628798
 ulasan1,la,1,2.252762968495368,0.3218567424628798
 ulasan1,langsung,1,1.5596157879354227,0.22282542105787675
 ulasan1,limit,2,1.336472236621213,0.3818889128475721
 ulasan1,pasang,1,2.252762968495368,0.3218567424628798
 ulasan1,pulsa,1,1.5596157879354227,0.22282542105787675
 ulasan1,tidak,1,1.1541506798272583,0.1648958116390856
 ulasan2,bayar,2,1.336472236621213,0.16286705156916692
 ulasan2,beli,2,1.8472978603872037,0.22511799919758915
 ulasan2,bunga,1,2.252762968495368,0.13726467804921294
 ulasan2,cicil,1,2.252762968495368,0.13726467804921294
 ulasan2,cs,1,2.252762968495368,0.13726467804921294
 ulasan2,dibatalin,1,2.252762968495368,0.13726467804921294
 ulasan2,dichatnya,1,2.252762968495368,0.13726467804921294
 ulasan2,hangus,1,2.252762968495368,0.13726467804921294
 ulasan2,jam,1,2.252762968495368,0.13726467804921294
 ulasan2,kerja,1,2.252762968495368,0.13726467804921294
 ulasan2,kritik,1,2.252762968495368,0.13726467804921294
 ulasan2,laku,1,1.8472978603872037,0.11255899959879458
 ulasan2,lambat,1,2.252762968495368,0.13726467804921294
 ulasan2,lanjur,1,2.252762968495368,0.13726467804921294
 ulasan2,limit,1,1.336472236621213,0.08143352578458346
 ulasan2,mentok,1,2.252762968495368,0.13726467804921294
 ulasan2,min,1,2.252762968495368,0.13726467804921294
 ulasan2,nya,2,1.8472978603872037,0.22511799919758915
 ulasan2,pakai,1,2.252762968495368,0.13726467804921294
 ulasan2,pas,1,2.252762968495368,0.13726467804921294
 ulasan2,pernah,1,2.252762968495368,0.13726467804921294
 ulasan2,poin,2,2.252762968495368,0.2745293560984259
 ulasan2,point,2,2.252762968495368,0.2745293560984259
 ulasan2,rendah,1,2.252762968495368,0.13726467804921294
 ulasan2,ribu,2,2.252762968495368,0.2745293560984259
 ulasan2,rupiah,2,2.252762968495368,0.2745293560984259
